[10/8/25 11:26AM] H8 used command ::home | Player rights = EMERALD_DONATOR	
[10/8/25 11:26AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:26AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:26AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:26AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:26AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:26AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:26AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:27AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:27AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:27AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:27AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:27AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:27AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:27AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:28AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:28AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:28AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:28AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:28AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:28AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:28AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:28AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:29AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:29AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:29AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:29AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
