[10/7/25 11:49PM] Dox used command ::seasonpass | Player rights = EMERALD_DONATOR	
[10/7/25 11:50PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:50PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:50PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:51PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:09AM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:10AM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:36AM] Dox used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/8/25 01:35AM] Dox used command ::afk | Player rights = EMERALD_DONATOR	
[10/8/25 01:35AM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:30PM] Dox used command ::zones | Player rights = EMERALD_DONATOR	
[10/8/25 08:37PM] Dox used command ::vboss | Player rights = EMERALD_DONATOR	
[10/8/25 08:41PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:41PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:44PM] Dox used command ::dr | Player rights = EMERALD_DONATOR	
[10/8/25 08:44PM] Dox used command ::nephilim | Player rights = EMERALD_DONATOR	
[10/8/25 08:44PM] Dox used command ::nephilim | Player rights = EMERALD_DONATOR	
[10/8/25 08:44PM] Dox used command ::nephilim | Player rights = EMERALD_DONATOR	
[10/8/25 08:58PM] Dox used command ::nephilim | Player rights = EMERALD_DONATOR	
[10/8/25 09:11PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 09:12PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 09:12PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 09:12PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 09:43PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 09:53PM] Dox used command ::slayerboss | Player rights = EMERALD_DONATOR	
[10/8/25 09:59PM] Dox used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/8/25 09:59PM] Dox used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/8/25 10:05PM] Dox used command ::hallraiser | Player rights = EMERALD_DONATOR	
[10/8/25 10:05PM] Dox used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/8/25 10:06PM] Dox used command ::vboss | Player rights = EMERALD_DONATOR	
[10/8/25 10:21PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 10:22PM] Dox used command ::dr | Player rights = EMERALD_DONATOR	
[10/8/25 11:47PM] Dox used command ::well | Player rights = EMERALD_DONATOR	
[10/9/25 12:30AM] Dox used command ::emerald | Player rights = EMERALD_DONATOR	
[10/9/25 01:16AM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:45PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:49PM] Dox used command ::kills | Player rights = EMERALD_DONATOR	
[10/9/25 09:49PM] Dox used command ::kills | Player rights = EMERALD_DONATOR	
[10/9/25 11:01PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:01PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:02PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:02PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:03PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:03PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:04PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:05PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:05PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:14PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:14PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:15PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:15PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:15PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:15PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:15PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:15PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:15PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:15PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:15PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:15PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:15PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:18PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:19PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:24PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:25PM] Dox used command ::shops | Player rights = EMERALD_DONATOR	
[10/9/25 11:25PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:27PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:28PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:29PM] Dox used command ::buu | Player rights = EMERALD_DONATOR	
[10/9/25 11:30PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:31PM] Dox used command ::lumbridge | Player rights = EMERALD_DONATOR	
[10/9/25 11:31PM] Dox used command ::edge | Player rights = EMERALD_DONATOR	
[10/9/25 11:32PM] Dox used command ::edgeville | Player rights = EMERALD_DONATOR	
[10/9/25 11:33PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:34PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:38PM] Dox used command ::cows | Player rights = EMERALD_DONATOR	
[10/9/25 11:38PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:42PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:45PM] Dox used command ::omega | Player rights = EMERALD_DONATOR	
[10/9/25 11:46PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:46PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:47PM] Dox used command ::dp | Player rights = EMERALD_DONATOR	
[10/9/25 11:47PM] Dox used command ::dropparty | Player rights = EMERALD_DONATOR	
[10/9/25 11:48PM] Dox used command ::varrock | Player rights = EMERALD_DONATOR	
[10/9/25 11:48PM] Dox used command ::falador | Player rights = EMERALD_DONATOR	
[10/9/25 11:49PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 11:59PM] Dox used command ::platinum | Player rights = EMERALD_DONATOR	
[10/10/25 12:40AM] Dox used command ::edge | Player rights = EMERALD_DONATOR	
[10/10/25 03:06AM] Dox used command ::afk | Player rights = EMERALD_DONATOR	
[10/10/25 03:06AM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:20PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/13/25 08:46PM] Dox used command ::zones | Player rights = EMERALD_DONATOR	
[10/15/25 08:44PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:45PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:45PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:45PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:47PM] Dox used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 08:49PM] Dox used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 08:49PM] Dox used command ::vboss | Player rights = RUBY_DONATOR	
[10/15/25 08:51PM] Dox used command ::nephilim | Player rights = RUBY_DONATOR	
[10/15/25 11:08PM] Dox used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 11:38PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 11:40PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 11:41PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 11:42PM] Dox used command ::STARTERTASKS | Player rights = DIAMOND_DONATOR	
[10/15/25 11:42PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 11:43PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 11:43PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 11:45PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/17/25 03:02PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/17/25 03:04PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/17/25 03:36PM] Dox used command ::vote | Player rights = DIAMOND_DONATOR	
[10/17/25 03:37PM] Dox used command ::voted | Player rights = DIAMOND_DONATOR	
[10/17/25 03:37PM] Dox used command ::claimvotes | Player rights = DIAMOND_DONATOR	
[10/17/25 03:37PM] Dox used command ::claimvote | Player rights = DIAMOND_DONATOR	
[10/17/25 03:37PM] Dox used command ::claim | Player rights = DIAMOND_DONATOR	
[10/17/25 03:37PM] Dox used command ::claimvote | Player rights = DIAMOND_DONATOR	
[10/17/25 03:37PM] Dox used command ::r | Player rights = DIAMOND_DONATOR	
[10/17/25 03:37PM] Dox used command ::reward 1 all | Player rights = DIAMOND_DONATOR	
[10/17/25 04:34PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/17/25 04:39PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/18/25 02:21AM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/18/25 02:34PM] Dox used command ::perks | Player rights = DIAMOND_DONATOR	
[10/18/25 02:45PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/18/25 02:47PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/18/25 02:47PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/18/25 02:47PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
[10/18/25 09:13PM] Dox used command ::shops | Player rights = DIAMOND_DONATOR	
[10/18/25 09:15PM] Dox used command ::pos | Player rights = DIAMOND_DONATOR	
[10/18/25 09:20PM] Dox used command ::bank | Player rights = DIAMOND_DONATOR	
